"Ezra Edelman, M. Night Shyamalan, and Barry Levinson to appear at Ivy Film Festival", https://www.bostonglobe.com/lifestyle/names/2017/03/16/ezra-edelman-night-shyamalan-and-barry-levinson-appear-ivy-film-festival/REBxMiQTDE6iAPZo7EaiPK/story.html, The Boston Globe:
"Film Festival Roundup: Sarasota Announces Complete Slate, SFIFF Unveils Full Lineup and New Launch Program, and More", http://www.indiewire.com/2017/03/film-festival-roundup-sarasota-slate-sfiff-lineup-launch-program-1201794460/, Indiewire:
"Film Festival Roundup: Sarasota Announces Complete Slate, SFIFF Unveils Full Lineup and New Launch Program, and More", https://www.yahoo.com/movies/film-festival-roundup-sarasota-announces-180046709.html, Yahoo! Movies:
Extra: C4 firms up GBBO lineup; Tyra Banks returns to host ANTM, http://realscreen.com/2017/03/17/extra-c4-firms-up-gbbo-lineup-tyra-banks-returns-to-host-antm/, Realscreen:
"Ivy Film Festival presents Ezra Edelman, Barry Levinson and M. Night Shyamalan, Planned Parenthood’s Virtual Reality film “Across the Line,” “She Scores” panel of women composers and more at Brown University", April 10-16, 2017, https://unseenfilms.blogspot.com/2017/03/ivy-film-festival-presents-ezra-edelman.htm, Unseen Films:
Beyond Tribeca: New York’s Many Other Film Fests in April, http://www.nytimes.com/2016/04/08/movies/beyond-tribeca-film-festival-more-new-york-film-festival-in-april.html?_r=0, New York Times:
De Niro gives his father starring role at Brown film festival, http://www.providencejournal.com/article/20160407/NEWS/160409379, Providence Journal:
Robert De Niro headed to Rhode Island for Ivy Film Festival, https://www.bostonglobe.com/lifestyle/names/2016/03/30/robert-niro-will-rhode-island-next-week-for-ivy-film-festival/0faE4KOpS3SEM4BMsNTtiK/story.html, Boston Globe:
"For 15 years running, student films take center stage at the Ivy Film Festival", https://news.brown.edu/articles/2016/04/ivyfilm, Brown News:
Jodie Foster reflects on career path in film industry, http://www.browndailyherald.com/2016/04/06/jodie-foster-reflects-on-career-path-in-film-industry/, Brown Daily Herald:
Ivy Film Festival reaches campuses nationwide, http://www.browndailyherald.com/2016/04/05/ivy-film-festival-reaches-campuses-nationwide/, Brown Daily Herald:
Ivy Film Fest Tributes Todd Haynes, http://blogs.indiewire.com/thompsononhollywood/todd-haynes-to-world-premiere-first-scenes-from-carol-at-ivy-film-fest-20150330, IndieWire:
True Detective' Producer Explains How TV Became The Land With No Rules, http://www.forbes.com/sites/maddieberg/2015/04/13/in-exclusive-q-a-true-detective-producer-explains-how-tv-became-the-land-with-no-rules/#68300e992b97, Forbes:
"Jason Schwartzman on Wes Anderson, Bill Murray and Francois Truffaut",https://i-d.vice.com/en_gb/article/jason-schwartzman-on-wes-anderson-bill-murray-and-francois-truffaut, i-D:
"Ivy Film Festival Expands To Top 5 Schools, Lineup Includes Todd Haynes & Jason Schwatrzmann", http://indienyc.com/ivy-film-festival-expands-to-top-5-schools-lineup-includes-todd-haynes-jason-schwatrzmann/, Indiewood:
"Ivy Film Festival screenings, panels zoom in on diversity in media", http://www.browndailyherald.com/2015/04/08/ivy-film-festival-screenings-panels-zoom-in-on-diversity-in-media/, Brown Daily Herald:
End of the Tour starts off Ivy Film Festival, http://www.browndailyherald.com/2015/04/10/end-of-the-tour-starts-off-ivy-film-festival/, Brown Daily Herald:
"Wes Anderson Q&A draws fans, cinephiles", http://www.browndailyherald.com/2014/04/18/wes-anderson-qa-draws-fans-cinephiles/, Brown Daily Herald:
Exclusive Q&A with horror director Wes Craven, http://www.browndailyherald.com/2013/04/16/exclusive-qa-with-horror-director-wes-craven/, Brown Daily Herald:
Exclusive Q&A with actress Laura Linney '86, http://www.browndailyherald.com/2012/04/11/exclusive-qa-with-actress-laura-linney-86/, Brown Daily Herald:
The Herald gets girly with Lena Dunham, http://www.browndailyherald.com/2012/04/16/the-herald-gets-girly-with-lena-dunham/, Brown Daily Herald:
NEW: Screenwriter Aaron Sorkin Coming to Ivy Film Festival, http://www.golocalprov.com/lifestyle/new-screenwriter-aaron-sorkin-coming-to-ivy-film-festival, GoLocal Prov:
Ivy Film Festival attracts industry pros, http://variety.com/2009/film/features/ivy-film-festival-attracts-industry-pros-1118002508/, Variety:
Ivy Film Festival for film business advice, http://variety.com/2007/film/markets-festivals/ivy-festival-for-film-business-advice-1117963142/, Variety:
Ivy Film Festival Unites Student Filmmakers, http://www.thecrimson.com/article/2005/4/22/ivy-film-festival-unites-student-filmmakers/, Harvard Crimson:
H’wood trio in league for Ivy Film Festival, http://variety.com/2004/film/markets-festivals/h-wood-trio-in-league-for-ivy-film-festival-1117902567/, Variety:
